Mode_group,,index,TimeStamp,PacketName,SequenceCount,tm2rawReadIndex,HK_STAT_PREVIOUS_MODE,HK_STAT_CURRENT_MODE,PAR_REPETITION_RATE,PAR_TIS_BIN_MODE,PAR_TIS_WIN_SIZE,PAR_TIS_COMP_MODE,PAR_TIR_REPETITION_FACTOR,PAR_TIS_SCIENCE_QUICKLOOK_PERIOD,PAR_TIR_SCIENCE_QUICKLOOK_PERIOD,HK_STAT_TIS_DATA_ACQ_TYPE,HK_STAT_TIS_DATA_ACQ_TARGET
1,0,7,651126356.6920929,TM_Operation_Parameter,4,22,,,3.0,1.0,0.0,1.0,8.0,60.0,60.0,,
1,1,8,651126356.6963043,TM_FunctionConfig_Parameter,5,23,,,,,,,,,,,
1,2,9,651126357.6967163,TM_Event_Progress(ModeTransition),21,24,15.0,14.0,,,,,,,,,
1,3,10,651130752.4857483,TM_Science_TIR_Data,4804,25,,,,,,,,,,,
1,10,17,651130819.1061249,TM_Science_TIS_Data,4876,38,,,,1.0,0.0,1.0,,,,3.0,1.0
1,37,44,651130849.2889557,TM_Science_TIS_Data,4904,67,,,,1.0,0.0,1.0,,,,0.0,1.0
1,46,53,651130909.8949585,TM_Science_TIR_Data,4966,80,,,,,,,,,,,
